Score1	Score2	Pearson
Stein Scott Similarity Nist	VW1	-0.0514322168209242
Stein Scott Similarity Nist	Taneja Divergence	-0.499067028122292
Stein Scott Similarity Nist	Symmetric Chi Squared Distance	-0.0514322168209244
Stein Scott Similarity Nist	Squared Chi Squared Distance	-0.351512723003532
Stein Scott Similarity Nist	Square Root Cosine Correlation	0.687635053158025
Stein Scott Similarity Nist	Sorensen Distance	-0.797921017462255
Stein Scott Similarity Nist	Minokowski 3 Distance	-0.554694883883904
Stein Scott Similarity Nist	Minokowski 4 Distance	-0.565798675319171
Stein Scott Similarity Nist	Kumar Johnson Divergence	-0.0537713018266555
Stein Scott Similarity Nist	Kumar Hassebrook Similarity	0.675662309480564
Stein Scott Similarity Nist	Kullback Leibler Divergence	-0.380051191534018
Stein Scott Similarity Nist	Soergel Distance	-0.811078733525541
Pearson Correlation	Spectral Similarity Score	0.994240511869864
Pearson Correlation	Weighted Cosine Correlation	0.623444338024938
Pearson Correlation	Cosine Correlation	0.994240511869864
Pearson Correlation	Stein Scott Similarity	0.552160779917118
Pearson Correlation	Stein Scott Similarity Nist	0.662961446393981
Pearson Correlation	Pearson Correlation	1
Pearson Correlation	Spearman Correlation	0.604623188830342
Pearson Correlation	Kendall Tau Correlation	0.602169452510538
Pearson Correlation	Euclidean Distance	-0.793705090027123
Pearson Correlation	Manhattan Distance	-0.437637949451233
Pearson Correlation	Jaccard Distance	-0.975392169804352
Pearson Correlation	DWT Correlation	0.846753931256863
Pearson Correlation	DFT Correlation	0.804524431000436
Pearson Correlation	Chebyshev Distance	-0.731802505151445
Pearson Correlation	Squared Euclidean Distance	-0.72920847534446
Pearson Correlation	Fidelity Similarity	0.737753000619658
Pearson Correlation	Matusita Distance	-0.570756794254541
Pearson Correlation	Squared-chord Distance	-0.527419589887984
Pearson Correlation	Harmonic mean Distance	0.794668440471762
Pearson Correlation	Pearson Chi Squared Distance	-0.125657118202914
Pearson Correlation	Neyman Chi Squared Distance	-0.494075009808199
Pearson Correlation	Probabilistic symmetric X2 Distance	-0.500529010024252
Pearson Correlation	Topsoe Distance	-0.514076501816131
Pearson Correlation	Chernoff Distance	-0.631658761942611
Pearson Correlation	Ruzicka Distance	-0.914566725161952
