Score1	Score2	Pearson
Stein Scott Similarity	Spearman Correlation	0.706249363884836
Stein Scott Similarity	Kendall Tau Correlation	0.713583104981394
Stein Scott Similarity	Euclidean Distance	-0.46557390629646
Stein Scott Similarity	Manhattan Distance	-0.706404127559578
Stein Scott Similarity	Jaccard Distance	-0.591987592451444
Stein Scott Similarity	DWT Correlation	0.84235146911023
Stein Scott Similarity	DFT Correlation	0.869316788301693
Stein Scott Similarity	Chebyshev Distance	-0.350845575185279
Stein Scott Similarity	Squared Euclidean Distance	-0.386007773054185
Stein Scott Similarity	Fidelity Similarity	0.725846227751616
Stein Scott Similarity	Matusita Distance	-0.764546533727998
Stein Scott Similarity	Squared-chord Distance	-0.725846227751306
Stein Scott Similarity	Harmonic mean Distance	0.713467085282303
Stein Scott Similarity	Pearson Chi Squared Distance	-0.0707479369456071
Stein Scott Similarity	Neyman Chi Squared Distance	-0.268804894256581
Stein Scott Similarity	Probabilistic symmetric X2 Distance	-0.713467085282436
Stein Scott Similarity	Topsoe Distance	-0.719190292246269
Stein Scott Similarity	Chernoff Distance	-0.553109160710087
Stein Scott Similarity	Ruzicka Distance	-0.737265510947602
Stein Scott Similarity	Roberts Distance	-0.692168035513289
Stein Scott Similarity	Motyka Distance	0.70640412756052
Stein Scott Similarity	Canberra Distance	0.105805411550915
Stein Scott Similarity	Canberra Metric	-0.642778685766364
Stein Scott Similarity	Kulczynski 1 Distance	-0.110598890036238
Stein Scott Similarity	Lorentzian Distance	-0.701459606935866
Stein Scott Similarity	Clark Distance	0.0705259771563431
Stein Scott Similarity	Hellinger Distance	-0.764546533727631
Stein Scott Similarity	Whittaker index of association Distance	-0.0720873653129421
Stein Scott Similarity	Spectral Contrast Angle	-0.576446743991378
Stein Scott Similarity	Wave Hedges Distance	0.125836911817044
Stein Scott Similarity	Dice Similarity	0.567752919631715
Stein Scott Similarity	Inner Product Distance	-0.387053186611457
Stein Scott Similarity	Divergence Distance	0.0765147778156904
Stein Scott Similarity	Jensen Differences Distance	-0.719190292248942
Stein Scott Similarity	Kumar Johnson Distance	-0.0389734396937842
Stein Scott Similarity	Avg (L1, L8) Distance	-0.65994960413486
Stein Scott Similarity	Vicis Wave Hadges Distance	-0.0361694017377879
Stein Scott Similarity	Vicis-Symmetric X2 1 Distance	-0.0202050510331562
Stein Scott Similarity	Vicis-Symmetric X2 2 Distance	-0.0710363350799264
Stein Scott Similarity	Vicis-Symmetric X2 3 Distance	-0.710756121562645
Stein Scott Similarity	Max Symmetric Chi Squared Distance	-0.070755625417478
Stein Scott Similarity	Min Symmetric Chi Squared Distance	-0.272407897201851
Stein Scott Similarity	Additive Symmetric Chi Squared	-0.0710363350799264
Stein Scott Similarity	Battacharya Distance	-0.415045675089958
Stein Scott Similarity	Generalized Ochai Index	-0.706404127559389
Stein Scott Similarity	Gower Distance	-0.39712289750822
Stein Scott Similarity	Improved Square Root Cosine Similarity	0.385954881425046
Stein Scott Similarity	Intersection Similarity	0.706404127559351
Stein Scott Similarity	J Divergence	-0.687857437075612
Stein Scott Similarity	Jensen Shannon Index	-0.719190292248942
Stein Scott Similarity	K Divergence	-0.691952344354419
Stein Scott Similarity	VW6	-0.272407897201851
Stein Scott Similarity	VW5	-0.070755625417478
Stein Scott Similarity	VW4	-0.710756121562645
Stein Scott Similarity	VW3	-0.0710363350799264
Stein Scott Similarity	VW2	-0.0202050510331562
Stein Scott Similarity	VW1	-0.0361694017377879
Stein Scott Similarity	Taneja Divergence	-0.683791118438497
Stein Scott Similarity	Symmetric Chi Squared Distance	-0.0361694009798145
Stein Scott Similarity	Squared Chi Squared Distance	-0.713467085282551
Stein Scott Similarity	Square Root Cosine Correlation	0.725846227751614
Stein Scott Similarity	Sorensen Distance	-0.706404127559389
Stein Scott Similarity	Minokowski 3 Distance	-0.401193689720206
Stein Scott Similarity	Minokowski 4 Distance	-0.378955405465936
Stein Scott Similarity	Kumar Johnson Divergence	-0.0389734396937842
Stein Scott Similarity	Kumar Hassebrook Similarity	0.591987592452135
Stein Scott Similarity	Kullback Leibler Divergence	-0.615471370089111
Stein Scott Similarity	Soergel Distance	-0.737265510947602
Stein Scott Similarity Nist	Spectral Similarity Score	0.66703502611024
Stein Scott Similarity Nist	Weighted Cosine Correlation	0.95720722095888
Stein Scott Similarity Nist	Cosine Correlation	0.66703502611024
Stein Scott Similarity Nist	Stein Scott Similarity	0.957695447700103
Stein Scott Similarity Nist	Stein Scott Similarity Nist	1
Stein Scott Similarity Nist	Pearson Correlation	0.662961446394316
Stein Scott Similarity Nist	Spearman Correlation	0.774907659060002
Stein Scott Similarity Nist	Kendall Tau Correlation	0.780224468644094
Stein Scott Similarity Nist	Euclidean Distance	-0.551373096149448
Stein Scott Similarity Nist	Manhattan Distance	-0.816803867438312
Stein Scott Similarity Nist	Jaccard Distance	-0.695079987922101
Stein Scott Similarity Nist	DWT Correlation	0.909878401783891
Stein Scott Similarity Nist	DFT Correlation	0.936511392061573
Stein Scott Similarity Nist	Chebyshev Distance	-0.418301487680264
